"","parameters","TA_probe","TB_probe","TA_probe.1","TB_probe.1","TA_probe.2","TB_probe.2","TA_probe.3","TB_probe.3","TA_probe.4","TB_probe.4"
"1","Constituent","Glucose","Glucose","xylose","xylose","bdo","bdo","acetoin","acetoin","glycerol","glycerol"
"2","RMSEC","3.7421225595642","7.60497531650281","3.05862800225341","3.16301072892141","2.05375547461864","2.65766736672914","1.12238010253333","1.3779658664417","0.920985734385861","1.2193189701262"
"3","RMSECV","3.97841013234473","9.11002024076776","3.15468885898309","5.52461549614995","2.10745482602538","3.73807200332488","1.15562105123462","2.06452460069669","0.965609202955001","1.90366030313392"
"4","RMSEP","3.74791833516493","5.56650752311816","2.79213317480314","5.08572598925839","1.59165809430707","3.20106423270006","1.08689783823913","1.64649291407301","0.928781447173653","1.01437498283868"
"5","RMSEP-INDEXP","2.02794690863473","6.70712227452825","1.56364623833403","11.291859501757","2.14119255093528","5.56459160662441","0.615403890497046","3.51839810521696","0.647984571417111","2.88133084820409"
"6","R2C","0.98473292478134","0.966782598701917","0.970325461892695","0.969768086075698","0.996649918238285","0.995750313847375","0.975895954820477","0.979926760700943","0.969214638267934","0.942338247146774"
"7","R2CV","0.982740547626252","0.951733369937874","0.968428537929468","0.897750741460273","0.996473203832415","0.99162215671008","0.974439868483306","0.9554123722075","0.966158947143671","0.858852700442824"
"8","R2P","0.987678083280785","0.988811614262828","0.977140759783701","0.944212894574631","0.996698816734686","0.992979755913442","0.977681308881274","0.982962128135946","0.943498365760057","0.955437623262577"
"9","R2P-INDEXP","0.997245737584881","0.973982980150152","0.983854387826287","0.751104405205504","0.998230746554134","0.997015453361445","0.994555923504827","0.810979316354498","0.993407074919572","0.953797131982506"
