"","parameters","TA_full","TA_nironefeasibility","nirone","TA_full.1","TA_nironefeasibility.1","nirone.1","TA_full.2","TA_nironefeasibility.2","nirone.2","TA_full.3","TA_nironefeasibility.3","nirone.3","TA_full.4","TA_nironefeasibility.4","nirone.4"
"1","Constituent","Glucose","Glucose","Glucose","xylose","xylose","xylose","bdo","bdo","bdo","acetoin","acetoin","acetoin","glycerol","glycerol","glycerol"
"2","RMSEC","4.12414290424463","4.96501959316385","8.28569481179674","2.66040345321255","3.05116781130211","5.59248047914634","3.21426403219795","3.01024520926333","3.3288997132409","0.921237864421211","1.15372205762444","3.18194008106267","0.900114817758718","1.26361662474476","1.26210437218222"
"3","RMSECV","4.47278269515284","5.17236990442433","8.93497266461032","2.8780428637429","3.27522736899776","6.17269675529892","3.32820166974218","3.15097065222776","3.94624541109495","0.965085935672231","1.19835634114601","3.84390420813647","0.966461908453027","1.32007036871045","1.44448460020097"
"4","RMSEP","3.92684444430217","4.70814838470869","7.50605127472517","2.85963641218085","2.55335699796569","6.41461123411796","2.27918952209203","1.61612544507658","3.95932467773135","0.79265213167275","1.01615236912608","3.72816990535394","0.728969926606811","1.17785728994073","1.21423902754326"
"5","RMSEP-INDEXP","2.89030729100898","4.27324738195139","7.92792841762145","2.25468802351364","2.26187992801316","9.27940773818851","3.21188018055042","2.41765055208778","3.06159960315089","0.652059607322606","0.57241502474692","2.96380065767111","0.666772725210563","0.741578041115834","2.14248245258479"
"6","R2C","0.981898552090158","0.9724104827298","0.943818929793433","0.97636885562536","0.96904863441488","0.907483046808424","0.992069816203027","0.993246118013676","0.976848999701891","0.983816638362139","0.974693460828225","0.816077794537836","0.970011514637739","0.945861934750809","0.773627140487176"
"7","R2CV","0.978603007066685","0.969968496409156","0.934355261259823","0.972277519444639","0.964273909123368","0.886918036728692","0.991495308626484","0.992587828038993","0.967459443550371","0.982266585429972","0.972680404317063","0.718863966572567","0.965421134020701","0.940864814936247","0.703461062692206"
"8","R2P","0.987533761413909","0.982100190184649","0.944320188595809","0.977957613523954","0.980747087668512","0.889401573876123","0.994941600540597","0.997773613616497","0.975837223878029","0.99028955931645","0.981189625528491","0.858302836192222","0.969219388353653","0.884704267070869","0.695745072828884"
"9","R2P-INDEXP","0.99537898624481","0.992133675270776","0.961158101650298","0.985291705096096","0.985793288913027","0.755022923484515","0.997713190747216","0.998075910375024","0.99762769889403","0.991289879607096","0.990584355638196","0.747294270030233","0.98481571675304","0.980320434120371","0.978508142372154"
"10","ncalsamples","411","411","262","411","411","262","411","411","262","411","411","262","411","411","262"
"11","ncomp","10","7","9","12","12","13","7","6","14","13","10","17","15","10","17"
