"","parameters","TA_probe","TB_probe","TA_probe.1","TB_probe.1","TA_probe.2","TB_probe.2","TA_probe.3","TB_probe.3","TA_probe.4","TB_probe.4"
"1","Constituent","Glucose","Glucose","xylose","xylose","bdo","bdo","acetoin","acetoin","glycerol","glycerol"
"2","RMSEC","0.0299250104723246","0.0617437307502055","0.0429220881596043","0.0549610899899464","0.0121115496527608","0.0185951280260216","0.0273684492205152","0.0369656880570291","0.0405363439430396","0.0562251180804176"
"3","RMSECV","0.0318145552366631","0.0739629799526488","0.0442701215125328","0.0959967940251946","0.0124282292034286","0.0261544873306928","0.0281790063700225","0.0553834998630898","0.0425004050596391","0.0877813992491487"
"4","RMSEP","0.0299713581380642","0.0451936958928161","0.0391823347572711","0.0883705645396766","0.00938643683615655","0.0223971592426309","0.0265032391670112","0.0441692678548701","0.0408794651044742","0.0467747608175273"
"5","RMSEP-INDEXP","0.0162170884337044","0.0544541875012442","0.0219428324211905","0.19620954824947","0.0126271896617048","0.0389342528839696","0.0150061909411618","0.094385506916615","0.0285204476856123","0.132863648592507"
"6","R2C","0.98473292478134","0.966782598701917","0.970325461892695","0.969768086075698","0.996649918238285","0.995750313847375","0.975895954820477","0.979926760700943","0.969214638267934","0.942338247146774"
"7","R2CV","0.982740547626252","0.951733369937874","0.968428537929468","0.897750741460273","0.996473203832415","0.99162215671008","0.974439868483306","0.9554123722075","0.966158947143671","0.858852700442824"
"8","R2P","0.987678083280785","0.988811614262828","0.977140759783701","0.944212894574631","0.996698816734686","0.992979755913442","0.977681308881274","0.982962128135946","0.943498365760057","0.955437623262577"
"9","R2P-INDEXP","0.997245737584881","0.973982980150152","0.983854387826287","0.751104405205504","0.998230746554134","0.997015453361445","0.994555923504827","0.810979316354498","0.993407074919572","0.953797131982506"
"10","ncalsamples","411","67","411","67","411","67","411","67","411","67"
"11","Npcs","10","8","8","15","5","10","8","11","10","13"
