"","parameters","laboratory_full","laboratory_lowcostfeasibility","lowcost","laboratory_full.1","laboratory_lowcostfeasibility.1","lowcost.1","laboratory_full.2","laboratory_lowcostfeasibility.2","lowcost.2","laboratory_full.3","laboratory_lowcostfeasibility.3","lowcost.3","laboratory_full.4","laboratory_lowcostfeasibility.4","lowcost.4"
"1","Constituent","Glucose","Glucose","Glucose","xylose","xylose","xylose","bdo","bdo","bdo","acetoin","acetoin","acetoin","glycerol","glycerol","glycerol"
"2","RMSEC","0.0329799512534557","0.0397042750352967","0.066259054872425","0.0373128114055056","0.0427993801557316","0.0882233866405796","0.0189553814483573","0.0177522274533427","0.0255774084766876","0.0224637372450917","0.0281327007467555","0.0852381484345746","0.0395828855654669","0.0555680134012647","0.116753410932675"
"3","RMSECV","0.035767954379471","0.0413624142696868","0.0714512008365479","0.0403652575560014","0.0459423112497933","0.0973765066303662","0.0196273024104628","0.0185821233250443","0.0303207484525159","0.0235329416160017","0.0292210763507928","0.102970913692378","0.0425005236786731","0.0580505878940394","0.133624847382144"
"4","RMSEP","0.0314021946765467","0.0376501270268588","0.0600244004376263","0.0401071025551311","0.0362692755392853","0.101192794354282","0.0134409949996581","0.00953072739916599","0.0304212422415009","0.019328264610406","0.0247781606712041","0.0998706109122405","0.0320567250046971","0.0517967145972176","0.112325534462837"
"5","RMSEP-INDEXP","0.0231132130428547","0.0341723101315585","0.0633980681137261","0.0316225529244549","0.0317278710620446","0.146385987351136","0.0189413232325908","0.0142575370176787","0.0235236235355428","0.0159000148091345","0.0139579376919512","0.0793946064203352","0.029321579824563","0.032611171553027","0.198194491450951"
"6","R2C","0.981898552090158","0.9724104827298","0.943818929793433","0.97636885562536","0.96904863441488","0.907483046808424","0.992069816203027","0.993246118013676","0.976848999701891","0.983816638362139","0.974693460828225","0.816077794537836","0.970011514637739","0.945861934750809","0.773627140487176"
"7","R2CV","0.978603007066685","0.969968496409156","0.934355261259823","0.972277519444639","0.964273909123368","0.886918036728692","0.991495308626484","0.992587828038993","0.967459443550371","0.982266585429972","0.972680404317063","0.718863966572567","0.965421134020701","0.940864814936247","0.703461062692206"
"8","R2P","0.987533761413909","0.982100190184649","0.944320188595809","0.977957613523954","0.980747087668512","0.889401573876123","0.994941600540597","0.997773613616497","0.975837223878029","0.99028955931645","0.981189625528491","0.858302836192222","0.969219388353653","0.884704267070869","0.695745072828884"
"9","R2P-INDEXP","0.99537898624481","0.992133675270776","0.961158101650298","0.985291705096096","0.985793288913027","0.755022923484515","0.997713190747216","0.998075910375024","0.99762769889403","0.991289879607096","0.990584355638196","0.747294270030233","0.98481571675304","0.980320434120371","0.978508142372154"
"10","ncalsamples","411","411","262","411","411","262","411","411","262","411","411","262","411","411","262"
"11","ncomp","10","7","9","12","12","13","7","6","14","13","10","17","15","10","17"
